slug,title,fluff_phrases,intro_word_count,related_count,substitution_notes,dietary_tips,doneness_review_candidates,doneness_examples,bare_oven_celsius
bun-rieu,Bún Riêu,,82,4,1,1,2,"step 4: Pour in the stock, add the tamarind, sugar and remaining fish sauce and bring to a simmer. | step 9: Soak or boil the vermicelli as the packet directs and divide between bowls.",0
pork-pie,Melton Mowbray Pork Pie,,134,4,0,0,2,"step 2: Mix the chopped pork with the salt, white pepper, mace, nutmeg, sage and cold water. Fry a teaspoon of it to check the seasoning. | step 4: Boil the lard and water together, pour it into the well and mix quickly with a spoon, then bring together by hand.",0
baccala-mantecato,Baccalà Mantecato,,102,4,0,0,1,"step 6: As it takes and pales, add the oil in a thin stream, loosening with a spoonful of the poaching milk if it stiffens.",0
bang-bang-chicken,Bang Bang Chicken,,104,4,3,1,1,step 5: Loosen the sesame paste with the 3 tbsp poaching liquid until it pours.,0
brasato-al-barolo,Brasato al Barolo,,125,4,1,0,1,"step 8: Lift the beef out and rest it under foil. Strain the sauce, pressing the vegetables through a sieve, and boil it down to about 400 ml.",0
buddha-bowl,Roasted Vegetable Buddha Bowl,,80,4,1,0,1,"step 7: Build each bowl in sections rather than mixing: grains on one side, roast vegetables, chickpeas, raw greens, avocado.",0
carnitas,Slow-Braised Carnitas,,81,4,3,0,1,"step 8: Spoon over a little of the strained braising juices to rehydrate, then serve on warm tortillas with onion, coriander and lime.",0
chocolate-cake,Classic Chocolate Layer Cake,,124,4,2,0,1,step 2: Whisk the cocoa into the boiling coffee until smooth and leave to cool to warm. It will look like thin mud and smell like the finished cake.,0
cinnamon-sugar-donuts,Cinnamon Sugar Doughnuts,,88,4,0,0,1,"step 9: Mix the cinnamon, sugar and salt in a bowl and roll each doughnut in it while still hot enough to steam.",0
cockles-and-laverbread,Cockles and Laverbread,,111,4,0,0,1,"step 7: Serve the cakes with the cockles, the bacon and hot toast, with lemon on the side.",0
corn-dogs,Corn Dogs,,84,4,1,1,1,"step 8: Drain on a rack, not paper, and fry the rest in batches of two. Serve hot with mustard.",0
corned-beef-hash,Corned Beef Hash,,86,4,0,1,1,step 10: Fry the eggs separately and serve them on top with the parsley scattered over.,0
croque-madame,Croque Madame,,88,4,0,1,1,step 8: Fry the eggs in a little butter over low heat while the sandwiches grill.,0
crumpets,Crumpets,,88,4,0,0,1,"step 9: Cool on a rack. Toast before eating, hole side up, and butter heavily.",0
da-pan-ji,Da Pan Ji,,118,4,3,1,1,"step 9: Boil the noodles separately, drain them and lay them on a large platter.",0
di-san-xian,Di San Xian,,99,4,2,1,1,"step 7: Add both soy sauces, the wine, sugar, salt and water and bring to a simmer.",0
drunken-chicken,Drunken Chicken,,109,4,2,0,1,step 4: Strain 300 ml of the poaching stock and cool it completely.,0
eggs-benedict,Eggs Benedict,,81,4,1,0,1,step 8: Toast and butter the muffin halves and warm the ham in a dry pan for a minute a side.,0
faggots-and-peas,Faggots and Peas,,106,4,0,2,1,"step 2: Mix with the breadcrumbs, sage, salt, pepper, mace and egg. Fry a teaspoon to check the seasoning.",0
flammkuchen,Flammkuchen,,86,4,0,1,1,step 4: Divide the dough in two and roll each piece paper-thin on baking parchment. Do not worry about the shape.,0
francesinha,Francesinha,,87,4,2,2,1,step 6: Toast the bread lightly on both sides.,0
ftair,Ftair,,99,4,0,1,1,step 3: Heat the frying oil to 175°C.,0
grits,Cheesy Grits,,80,4,2,0,1,step 1: Bring the milk and stock to a simmer with the salt in a heavy pan.,0
ile-flottante,Île Flottante,,87,4,0,0,1,step 6: Boil the caramel sugar and water to a deep amber.,0
jjajangmyeon,Jjajangmyeon,,92,4,1,0,1,"step 9: Boil the noodles as the packet directs, drain and divide between bowls.",0
kafta-bil-sanieh,Kafta bil Sanieh,,116,4,0,0,1,step 3: Press the mixture into an even 1.5 cm layer across the base of a 30 cm round or equivalent roasting tray.,0
kalua-pork,Kalua Pork,,85,4,0,0,1,"step 4: If using banana leaves, pass them briefly over a flame or dip them in boiling water to make them pliable.",0
kleftiko,Lamb Kleftiko,,93,4,3,0,1,step 4: Lay a large sheet of foil in a roasting tin and a sheet of baking parchment on top.,0
langos,Lángos,,70,4,1,1,1,"step 9: Eat straight away, and fry the next one.",0
