slug,title,word_count,under_400_words,generic_phrases,generic_phrase_count,templated_opening_shared_with_n,missing_image,is_illustration_not_photo,duplicate_image_with,cuisine,category
grilled-cheese,Grilled Cheese Sandwich,402,,,0,,,yes,,American,Quick Meals
bombay-sandwich,Bombay Sandwich,406,,,0,,,yes,,Indian,Breakfast
coleslaw,Coleslaw,408,,,0,,,yes,,American,Lunch
egg-salad,Egg Salad,409,,,0,,yes,,,American,Lunch
shrikhand,Shrikhand,411,,,0,,,,,Indian,Desserts
carottes-rapees,Carottes Râpées,417,,,0,,,,,French,Appetizers
tuna-salad,Tuna Salad,418,,,0,,,yes,,American,Lunch
chicken-salad,Chicken Salad,419,,,0,,,yes,,American,Lunch
grilled-kippers,Grilled Kippers,419,,,0,,,yes,,British,Breakfast
aperol-spritz,Aperol Spritz,422,,,0,,,,,Italian,Drinks
affogato,Affogato,423,,,0,,,,,International,Desserts
scrambled-eggs,Perfect Scrambled Eggs,423,,,0,,,yes,,American,Breakfast
malpua,Malpua,427,,,0,,,yes,,Indian,Desserts
tiropita,Tiropita,427,,,0,,,,,Greek,Appetizers
pico-de-gallo,Pico de Gallo,428,,,0,,,,,Mexican,Appetizers
karkade,Karkade,430,,,0,,,yes,,Egyptian,Drinks
bhel-puri,Bhel Puri,432,,,0,,,,,Indian,Appetizers
brigadeiro,Brigadeiro,433,,,0,,,yes,,Brazilian,Desserts
laverbread-and-bacon,Laverbread with Bacon,433,,,0,,,,,Welsh,Breakfast
chouquettes,Chouquettes,434,,,0,,,,,French,Baking
kaju-katli,Kaju Katli,434,,,0,,,,,Indian,Desserts
besan-ladoo,Besan Ladoo,435,,,0,,,yes,,Indian,Desserts
uitsmijter,Uitsmijter,437,,,0,,,,,Dutch,Quick Meals
filter-coffee,South Indian Filter Coffee,438,,,0,,,yes,,Indian,Drinks
patty-melt,Patty Melt,438,,,0,,,yes,,American,Dinner
stamppot,Stamppot,438,,,0,,,,,Dutch,Dinner
falooda,Falooda,439,,,0,,,,,Indian,Desserts
korean-corn-cheese,Korean Corn Cheese,441,,,0,,yes,,,Korean,Appetizers
slata-tounsia,Slata Tounsia,441,,,0,,,yes,,Tunisian,Appetizers
bambalouni,Bambalouni,442,,,0,,,,,Tunisian,Desserts
poha,Poha,442,,,0,,,yes,,Indian,Breakfast
raggmunk,Raggmunk,442,,,0,,,,,Swedish,Dinner
thandai,Thandai,442,,,0,,,yes,,Indian,Drinks
aam-panna,Aam Panna,443,,,0,,,,,Indian,Drinks
gajar-ka-halwa,Gajar ka Halwa,443,,,0,,,yes,,Indian,Desserts
pizzelle,Pizzelle,443,,,0,,,,,Italian,Baking
pol-sambol,Pol Sambol,443,,,0,,,yes,,Sri Lankan,Appetizers
turkish-pilav,Turkish Pilav,443,,,0,,,yes,,Turkish,Dinner
mandazi,Mandazi,445,,,0,,yes,,,Kenyan,Desserts
bellini,Bellini,446,,,0,,,yes,,Italian,Drinks
obatzda,Obatzda,447,,,0,,,,,German,Appetizers
mhalbiya,Mhalbiya,449,,,0,,,,,Tunisian,Desserts
placki-ziemniaczane,Placki Ziemniaczane,449,,,0,,,,,Polish,Breakfast
angels-on-horseback,Angels on Horseback,451,,,0,,yes,,,British,Appetizers
dublin-coddle,Dublin Coddle,451,,,0,,,yes,,Irish,Dinner
gorditas,Gorditas,451,,,0,,,yes,,Mexican,Dinner
hiyayakko,Hiyayakko,451,,,0,,,,,Japanese,Appetizers
batarekh,Batarekh,452,,,0,,,,,Egyptian,Appetizers
hot-toddy,Hot Toddy,452,,,0,,,,,Scottish,Drinks
mysore-pak,Mysore Pak,452,,,0,,,,,Indian,Desserts
foie-de-veau,Foie de Veau Lyonnaise,453,,,0,,,,,French,Quick Meals
cranachan,Cranachan,454,,,0,,,,,Scottish,Desserts
garlic-bread,Garlic Bread,454,,,0,,,yes,,Italian,Baking
ghoriba,Ghoriba,454,,,0,,,,,Moroccan,Desserts
horchata,Horchata,454,,,0,,,,,Mexican,Drinks
pisco-sour,Pisco Sour,454,,,0,,,,,Peruvian,Drinks
syrniki,Syrniki,455,,,0,,,yes,,Russian,Breakfast
chaas,Chaas,456,,,0,,,,,Indian,Drinks
egg-bhurji,Egg Bhurji,457,,,0,,,yes,,Indian,Breakfast
kulfi,Kulfi,458,,,0,,,,,Indian,Desserts
anchoiade,Anchoïade,459,,,0,,,,,French,Appetizers
gebna-domiati,Gebna Domiati Salad,459,,,0,,,,,Egyptian,Appetizers
hong-kong-milk-tea,Hong Kong Milk Tea,459,,,0,,,yes,,Chinese,Drinks
paletas,Paletas,459,,,0,,yes,,,Mexican,Desserts
the-aux-pignons,Thé aux Pignons,459,,,0,,,yes,,Tunisian,Drinks
